Size	Statistic	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	188	2529173	0.1	0.1152	1.06267638626219	-1.04916464759108	-1	54.2785229924449
AKAP8	192	2703378.5	0.1	0.1152	1.35448139707156	1.36107090530325	1	71.16909032002
RPS10	187	2509528	0.1	0.1152	1.40028462157806	1.64832635174753	1	73.8203211717497
KHDRBS1	192	2421039	0.1	0.1152	0.924934232993529	0.991150362491139	1	46.3055854915554
EIF4G2	182	2719778	0.1	0.1152	1.39538431034305	-1.36864304301517	-1	73.5366761561568
SUB1	195	2541039	0.1	0.1152	0.836775544947735	0.78721359760863	1	41.2026907475
PABPC4	195	2525588.5	0.1	0.1152	1.13927952985131	1.25348056456373	1	58.7125474483893
HNRNPU	195	2700004	0.1	0.1152	1.03310765766689	-1.04938876436668	-1	52.5669944626759
SF3B1	185	2232091	0.1	0.1152	1.27576520871534	-1.20146828757678	-1	66.6127563642974
HNRNPA1	183	2450978	0.1	0.1152	1.70207142123611	2.02133060517593	1	91.2886649951108
CIRBP	197	2695614	0.1	0.1152	1.02622404241202	0.974745005310956	1	52.1685497389308
TROVE2	195	2682552.5	0.1	0.1152	0.949619020737415	0.883868235853101	1	47.7344165736487
SRSF1	194	2847323	0.1	0.1152	1.11794118825008	-1.11883735520741	-1	57.4774189135004
DDX24	197	2623994.5	0.1	0.1152	0.831954773348649	0.822472783674533	1	40.9236497295292
EIF2S2	185	2632217.5	0.1	0.1152	1.28030081376551	-1.46724657234209	-1	66.8752910694371
ESF1	187	2480258	0.1	0.1152	1.35797706535081	-1.55466131845944	-1	71.3714303013034
TBRG4	190	2493243.5	0.1	0.1152	1.13631291430112	1.22715290144123	1	58.540830658652
DNAJC21	190	2497819	0.1	0.1152	1.41971855040798	-1.3619132280037	-1	74.9452164654618
SF3B4	189	2802245.5	0.1	0.1152	1.13868041042807	-1.06608005135284	-1	58.6778685820896
STIP1	190	2404810	0.1	0.1152	1.36282225775936	1.4683043574176	1	71.6518848704852
RPS19	184	2684032.5	0.1	0.1152	1.52912385959791	-1.40328619316592	-1	81.2779306835662
SUCLG1	192	2607361	0.1	0.1152	1.1847679019263	1.26900263392281	1	61.3455536775263
SLBP	196	2669780	0.1	0.1152	1.18193154103434	1.34230940714506	1	61.1813764261554
CNOT7	192	2516017.5	0.1	0.1152	1.18605756807969	1.29860104700642	1	61.4202035025364
EFTUD2	196	2819679	0.1	0.1152	0.982920206201842	-0.94701760219216	-1	49.6619911331632
PUM2	187	2571245	0.1	0.1152	1.32037494241137	1.24321941100218	1	69.194904314286
DDX6	187	2510834	0.1	0.1152	1.1249119314242	1.02530266352954	1	57.8809068679364
SMN1	179	2356950	0.1	0.1152	1.2516937011924	-1.33378156552688	-1	65.2194238188255
TARDBP	193	2610304.5	0.1	0.1152	1.03661566579255	-0.823529711472424	-1	52.7700487120456
PRPF8	189	2766359.5	0.1	0.1152	1.2110138533651	-1.23213697518875	-1	62.8647496934677
EIF3G	192	2868885	0.1	0.1152	1.33215672828439	-1.25061813893887	-1	69.8768701481677
RBM25	192	2555502.5	0.1	0.1152	0.904615332914571	0.88429374674915	1	45.1294653527888
DDX47	195	3013990	0.1	0.1152	1.37622012566083	-1.33147499433099	-1	72.427394479481
ADAR	174	2243752.5	0.1	0.1152	1.67201368748205	1.89163198053532	1	89.5488313497626
UTP18	191	2444049	0.1	0.1152	1.13767571195701	1.17584901119685	1	58.6197135589036
MSI2	193	2720483.5	0.1	0.1152	1.1523309191056	-1.12607321102985	-1	59.468001812612
EEF2	194	2777530	0.1	0.1152	1.49601374827373	-1.2701157983169	-1	79.3614160802241
GTF2F1	184	2260283.5	0.1	0.1152	1.51310235555794	1.67487279159017	1	80.3505569831439
PNPT1	184	2505803	0.1	0.1152	1.6797570319657	-1.66894376262152	-1	89.997039833157
PABPC1	180	2575102	0.1	0.1152	1.65363341815367	-1.4831487461946	-1	88.484925093565
NELFE	193	2682662.5	0.1	0.1152	1.16900237849931	-1.12394084889507	-1	60.432996918616
DDX28	189	2616890.5	0.1	0.1152	1.19185891646007	1.17904295337426	1	61.7560033064455
DDX1	181	2363718	0.1	0.1152	1.39597733738759	-1.34804092266277	-1	73.5710023769271
RRP9	188	2491100	0.1	0.1152	1.53672309982009	1.73817203960009	1	81.7177979711605
