symbol	length	Control_D0	Control_D1	AKAP8_D0	AKAP8_D1
ENSG00000000003.10	2120.60	795.00	914.00	918.00	1393.00
ENSG00000000419.8	1082.40	1256.00	1174.00	760.00	1367.00
ENSG00000000457.9	4339.50	128.00	147.00	134.00	205.00
ENSG00000000460.12	2156.74	103.00	111.00	61.00	91.00
ENSG00000000971.11	4127.00	0.00	1.00	0.00	1.00
ENSG00000001036.9	2324.02	1516.00	1503.00	1548.00	2570.00
ENSG00000001084.6	1602.12	1299.00	1386.00	1644.00	2136.00
ENSG00000001167.10	2774.12	841.00	836.00	860.00	1172.00
ENSG00000001460.13	2313.56	105.00	118.00	131.00	170.00
ENSG00000001461.12	4041.80	340.00	343.00	452.00	620.00
ENSG00000001497.12	2706.60	558.00	544.00	496.00	701.00
ENSG00000001561.6	4651.00	3.00	6.00	6.00	5.00
ENSG00000001617.7	2335.51	487.00	672.00	889.00	1212.00
ENSG00000001629.5	3512.05	1395.00	1414.00	1454.00	2061.00
ENSG00000001630.11	3030.23	4332.91	4835.00	3614.86	5506.74
ENSG00000001631.10	2273.25	640.72	624.34	625.64	880.16
ENSG00000002016.12	1410.57	215.28	274.25	211.00	274.14
ENSG00000002079.8	2228.22	16.00	8.00	17.00	24.00
ENSG00000002330.9	959.55	41.00	79.00	92.00	101.00
ENSG00000002549.8	1791.02	2021.00	2004.00	1642.00	2250.00
ENSG00000002586.13	1209.18	2875.00	3386.00	3552.00	4831.00
ENSG00000002746.10	2139.27	1.00	1.00	0.00	0.00
ENSG00000002822.11	1724.40	247.00	349.00	222.00	352.00
ENSG00000002834.13	3756.72	6400.00	7406.00	9936.00	13685.00
ENSG00000002919.10	1883.22	197.00	239.00	264.00	321.00
ENSG00000003056.3	1738.53	1655.00	1645.00	1728.00	2508.00
ENSG00000003096.9	3142.09	16.00	18.00	12.00	23.00
ENSG00000003137.4	2248.80	6.00	2.00	5.00	0.00
ENSG00000003147.13	530.00	0.00	0.00	0.00	1.00
ENSG00000003249.9	2060.93	907.00	1240.00	1774.00	2523.00
ENSG00000003393.10	5133.80	1414.00	1588.00	1585.00	2345.00
ENSG00000003400.10	4185.64	688.00	834.00	833.00	1147.00
ENSG00000003402.15	3717.51	2421.00	2502.00	2376.00	3498.63
ENSG00000003436.10	1341.89	19812.00	20865.00	22525.00	30110.00
ENSG00000003509.11	1732.02	538.00	560.00	553.00	824.00
ENSG00000003756.12	1760.94	3761.22	3910.00	3130.00	4372.86
ENSG00000003987.9	2115.55	16.00	16.00	11.00	17.00
ENSG00000003989.12	7176.71	9703.00	10612.00	6233.00	7857.00
ENSG00000004059.6	1088.57	767.00	969.00	1031.91	1404.00
ENSG00000004139.9	2427.92	30.00	31.00	27.00	26.00
ENSG00000004142.7	2154.71	1518.00	1903.00	1337.00	1804.00
ENSG00000004399.8	1966.68	2959.00	3918.00	5176.00	6673.00
