GENE.SET	ORA.RANK	SAFE.RANK	GSEA.RANK	GSA.RANK	GLOBALTEST.RANK	ROAST.RANK	CAMERA.RANK	GSVA.RANK	SAMGS.RANK	EBM.RANK	MGSA.RANK	MEAN.RANK	ORA.PVAL	SAFE.PVAL	GSEA.PVAL	GSA.PVAL	GLOBALTEST.PVAL	ROAST.PVAL	CAMERA.PVAL	GSVA.PVAL	SAMGS.PVAL	EBM.PVAL	MGSA.PVAL
1	DDX3X	100	61.4	22.3	24.4	100	13.2	2	1	100	100	50.3	52.2	0.167	0.167	0.363	0	0.333	0.031	4.04e-05	0.0145	0.324	0.244	2e-04
2	U2AF2	100	61.4	22.3	24.4	100	13.2	13.7	5.6	100	100	52.8	53.9	0.167	0.167	0.363	0	0.333	0.031	0.007	0.0333	0.324	0.244	4e-04
3	PTBP1	100	61.4	22.3	36.5	100	15.2	15.2	2.5	100	100	46.7	54.5	0.167	0.167	0.363	0.352	0.333	0.042	0.00973	0.0241	0.324	0.244	0
4	DAZAP1	100	61.4	22.3	24.4	100	17.8	1.5	23.4	100	100	52.8	54.9	0.167	0.167	0.363	0	0.333	0.049	3.44e-05	0.119	0.324	0.244	4e-04
5	CIRBP	100	61.4	27.9	29.4	100	10.7	26.4	6.6	100	100	46.7	55.4	0.167	0.167	0.366	0.282	0.333	0.025	0.0554	0.041	0.324	0.244	0
6	EIF4G1	100	61.4	22.3	24.4	100	22.3	14.2	20.3	100	100	46.7	55.6	0.167	0.167	0.363	0	0.333	0.0629	0.00719	0.105	0.324	0.244	0
7	YBX3	100	61.4	22.3	24.4	100	6.6	11.2	40.1	100	100	46.7	55.7	0.167	0.167	0.363	0	0.333	0.012	0.00504	0.26	0.324	0.244	0
8	PKM	100	61.4	32.5	24.4	100	14.7	24.4	8.6	100	100	46.7	55.7	0.167	0.167	0.379	0	0.333	0.035	0.0383	0.0497	0.324	0.244	0
9	RBM34	100	100	6.6	29.4	100	5.6	18.3	8.1	100	100	46.7	55.9	0.167	0.833	0.351	0.282	0.333	0.011	0.0196	0.0478	0.324	0.244	0
10	SRSF1	100	61.4	40.1	24.4	100	11.7	21.8	9.1	100	100	46.7	55.9	0.167	0.167	0.669	0	0.333	0.027	0.0242	0.0507	0.324	0.244	0
11	MSI2	100	61.4	22.3	24.4	100	1	18.8	3.6	100	100	84.8	56	0.167	0.167	0.363	0	0.333	0.000999	0.0204	0.0265	0.324	0.244	0.333
